alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target
0.36354576347664647,0.743728413837587,0.5454973288542514,0.9447400954107276,0.640487167307549,0.20232074049468485,0.46743880822093176,0.22777484177930785,0.23353611168976451,0.59873194901295,0.49138770866020953,0.09679153603409285,0.9442392968059841,2.0
0.5404100065283487,0.12601360720776322,0.7058887764382993,0.9046333499267256,0.8772446570576656,0.6317816199329108,0.46608808044074124,0.7517042698359256,0.8776572949065301,0.10525481430981609,0.7383780012541075,0.45249616387684066,0.25506153971890355,1.0
0.8095352102068561,0.8659153225494909,0.3069653104248301,0.5203243061349941,0.9489384870437122,0.7140041774837027,0.41300330322772894,0.06025501341891515,0.24778415609700455,0.7297245730241583,0.08672268268055394,0.8833810754927133,0.535820350274563,1.0
0.4303924037132879,0.4790981752694188,0.3510879279884286,0.22954129273026835,0.37930281319872117,0.2624482633566213,0.954676851531909,0.9784731969260405,0.06199272765013031,0.82465309604593,0.6658290056154664,0.34573361858405105,0.7991029687270816,1.0
0.8580103273798944,0.7536647611243628,0.5764797852210285,0.92896925663696,0.4998874850163313,0.5565668117727524,0.03837324110103313,0.33679770575190315,0.6512763169447136,0.7768443812216251,0.21205044594280698,0.6407502775505317,0.8660733418199924,1.0
0.9051583265213833,0.44253480010498836,0.8094719903429631,0.5054291661428825,0.10575980834473764,0.7730360040799782,0.4236389974243432,0.6732390593618693,0.07059679180001777,0.3413035193189564,0.6749070976027634,0.3892290937287116,0.5915190879351335,0.0
0.6809531953244429,0.40821801090399223,0.5760580541842966,0.10734477138952614,0.9570631979579406,0.9716073259374193,0.5999481202929675,0.18870342521694228,0.9533779782904992,0.6428002513531546,0.7598319293770789,0.9207918723429868,0.7372810628831196,0.0
0.3316492190776704,0.14853193497596284,0.5847859848211802,0.6320017924982788,0.04620165376682528,0.23858940158192032,0.13343691548280068,0.5831367316220937,0.46371502076442606,0.4562942620029403,0.057247316733992526,0.6152749195485718,0.7031809986126163,2.0
0.8771444688264181,0.5741632382930557,0.341025064569192,0.3229836682703593,0.8271639529876457,0.8071709682403916,0.3698722889886711,0.575471352981588,0.6851817855005891,0.4916783075971297,0.8275710453970414,0.7465406690285157,0.2358753859525573,0.0
0.9198461841214544,0.048377508474909736,0.2861571086652065,0.4189950803038277,0.34510009423197374,0.31587008512215375,0.9988970795055172,0.5201497959815223,0.6877775457382812,0.6468359498748166,0.7620345869903882,0.11405230022017632,0.209737513755898,1.0
